	PhCN-TiO2-Ethanol	PhCN-TiO2-water	g-C3N4-TiO2-water
53.4446	2552	4292	2897
53.4947	3083	4458	2884
53.5448	3302	4750	3314
53.5949	3615	4781	3229
53.645	4656	5354	3457
53.6951	4854	5802	3965
53.7452	4875	6281	4121
53.7953	5323	6083	3848
53.8454	5917	6823	4284
53.8955	6448	6271	4147
53.9456	6677	7115	4661
53.9958	6333	7240	4733
54.0459	7010	7594	4746
54.096	5823	7188	4896
54.1461	5667	7281	4941
54.1962	5594	7302	4818
54.2463	5333	6844	4896
54.2964	5083	7156	4870
54.3465	4573	7365	4785
54.3966	4625	7010	4980
54.4467	4573	7323	4779
54.4968	4396	6885	4264
54.547	4385	6740	4212
54.5971	4458	6365	4069
54.6472	4698	6948	4121
54.6973	5125	5958	3535
54.7474	4688	5219	3477
54.7975	5208	5719	3366
54.8476	5198	5292	3346
54.8977	4958	5438	3105
54.9478	5292	5219	3125
54.9979	5479	5063	3184
55.048	4990	4313	2715
55.0982	5594	4375	2832
55.1483	4698	4365	2650
55.1984	4948	3979	2669
55.2485	4979	4250	2565
55.2986	4344	3740	2591
55.3487	4385	3729	2611
55.3988	3802	3969	2357
55.4489	3698	3417	2233
55.499	3271	3729	2376
55.5491	3438	3583	2279
55.5992	2677	3573	2285
55.6494	2438	3552	2207
55.6995	2271	3313	2161
55.7496	2500	3906	2318
55.7997	1875	3583	2129
55.8498	2406	4146	2435
55.8999	2125	3792	2357
55.95	1917	3469	2051
56.0001	1583	3635	2174
56.0502	1792	3177	2435
56.1003	1688	3615	2096
56.1504	1729	3281	2383
56.2005	1354	3260	2253
56.2507	1427	3240	2292
56.3008	1250	3448	2292
56.3509	1406	3479	2513
56.401	1271	3260	2109
56.4511	1010	3375	1908
56.5012	1198	3156	2090
56.5513	1281	3521	2057
56.6014	1281	2979	2012
56.6515	1250	2885	2064
56.7016	1052	3302	1868
56.7517	1083	3083	1764
56.8019	1219	2875	1738
56.852	917	3031	1673
56.9021	969	2729	1673
56.9522	1042	2417	1797
57.0023	1021	2354	1667
57.0524	969	2510	1445
57.1025	1135	2313	1432
57.1526	1000	2615	1497
57.2027	1063	2604	1439
57.2528	1010	2302	1562
57.3029	802	2385	1530
57.3531	927	2344	1309
57.4032	1000	2042	1445
57.4533	792	2115	1237
57.5034	906	2125	1328
57.5535	1031	2104	1309
57.6036	1052	1927	1250
57.6537	979	2021	1113
57.7038	708	1969	1230
57.7539	990	1917	1224
57.804	1000	1927	1087
57.8541	1063	2021	1159
57.9043	833	1990	1042
57.9544	813	1865	1003
58.0045	1021	1844	898
58.0546	958	1813	937
58.1047	823	1708	1055
58.1548	740	1438	1003
58.2049	781	1531	996
58.255	958	1656	957
58.3051	823	1354	1009
58.3552	938	1458	892
58.4053	948	1760	990
58.4555	844	1469	872
58.5056	1010	1615	1009
58.5557	813	1573	801
58.6058	708	1510	840
58.6559	917	1531	983
58.706	813	1500	872
58.7561	792	1448	970
58.8062	823	1625	1022
58.8563	844	1500	827
58.9064	1031	1427	846
58.9565	802	1344	788
59.0067	667	1260	1009
59.0568	1000	1323	684
59.1069	875	1406	801
59.157	771	1188	820
59.2071	906	1406	840
59.2572	719	1167	859
59.3073	635	1438	872
59.3574	813	1448	820
59.4075	677	1406	827
59.4576	833	1531	768
59.5077	844	1458	755
59.5578	813	1333	957
59.608	854	1229	794
59.6581	885	1313	970
59.7082	938	1167	898
59.7583	719	1458	827
59.8084	979	1323	898
59.8585	917	1385	898
59.9086	979	1375	775
59.9587	781	1521	859
60.0088	885	1344	885
